SAMPLE_SOURCE, SAMPLE_TRANSCRIPT, ARTIST, RECORDING, RELEASE
"Blade Runner","Burning with the fires of Orc. @ 2:31
  Deep thunder rode around their shores. @ 3:25","Fires Of Ork, The","Fires Of Ork I, The","Fires Of Ork, The"
"Blade Runner","Deep thunder rode around their shores. @ 0:00
  Burning with the fires of Orc. @ 1:42","Fires Of Ork, The","Fires Of Ork II, The","1 Year - Ambient (Compilation)"
"Blade Runner","The facts of life. @ 4:14","Fires Of Ork, The","Facts Of Life, The","Fires Of Ork, The"
"Blade Runner","You're so different... You're so perfect (Note: Repeated)
  [Scream of Tyrell as his eyes are gouged out]
  Nothing the God of biomechanics wouldn't let you into heaven 
   for. @ 0:20, 0:28","Forma Tadre","Looking Glass Men","Navigator"
"Blade Runner","Moments.... in time (Note: Chopped up)","Future Forces Inc","Tanhauser's Gate","Breakbeat Massive"
"Blade Runner","Fiery the angels fell..","Goldie","Saint Angel","Timeless"
"Blade Runner","I'm Rachel.
  Our work is not of benefit to the public.
  If you're smart, you're gonna listen.
  May I ask you a personal question?","Haig, Paul","Free To Go","Something Good CD3"
"Blade Runner","Tell me about your mother.
  My mother?
  Let me tell you about my mother","Hate Dept.","More Like Me","Meat.Your.Maker"
"Blade Runner","'Describe in single words only the good things that come into mind about
    your mother.'
   'My mother? Let me tell you about my mother.'
   [gunshot] @ 0:02","Hate Dept.","Drive:A","Meat.Your.Maker"
"Blade Runner","Skinjob @ 2:05","Haujobb","Haujobb's State","Homes and Gardens"
"Blade Runner","Wake up, time to die...
  Time... to die.
  Quite an experience to live in fear.
  I want more life...
  Time...enough
  You are quite a price...
  A new life awaits you in the off-world colonies. The chance to begin again
   in a golden land of opportunity and adventure!
  I've seen things you people wouldn't believe.
  I've done questionable things - also extraordinary things, revel in your 
   time!
  You are the prodigal son!
  The light that burns twice as bright burns half as long...and you have 
   burned so very,very brightly
  Iichi Kotoru","Hoodlum Priest","Tyrell","Heart of Darkness"
"Blade Runner","All those moments will be lost in time like tears in the rain.","Index","Wilting","Never This Infliction"
"Blade Runner","Time to play...","Insekt","Perfect Crime","Stress"
"Blade Runner","Time to play @ 0:00","Inside Treatment","Sick To The Bone","      Isolated Suburban Psychokillers In Coma"
"Blade Runner","'Why are you staying at us Sebastian?'
   'Cause, you're so different, you're so perfect' @ 0:07
  Quite an experience living in fear isn't it? That's what it is to be a
   slave. @ 0:36","Interface","You Will Learn","Angels in Disguise"
"Blade Runner","It's too bad she won't live, but then again, who does? @ 1:39","Interface","Movement (Out)","Angels in Disguise"
"Blade Runner","I'll tell you about my mother...[BOOM]
  [fighting sounds] (Note: From the scene in which Deckard fights with Pris)","Jonny L","Mother (Original Mix)","Make Me Work (Single)"
"Blade Runner","[Computer noises from random parts of movie] (Note: Used all over the song)","Keith, Ray","Bladerunner","Various"
"Blade Runner","Indulge me @ 0:22
  Part of the business @ 0:26 
  I am the business @ 0:34 
  We can control them better @ 3:48","Kill Switch...Klick","Celebrate the Misery","      Beat it to Fit, Paint it to Match"
"Blade Runner","Describe in single words only the good things that come into your mind.
  Wake up, time to die!","Lazarus Effect","Killing Time","System"
"Blade Runner","A new life awaits you in the offworld colonies. A chance to begin again in
   a golden land of opportunity and adventure.","LCD","Jupiter and beyond Infinity","Jupiter and beyond Infinity"
"Blade Runner","I've...seen things you people wouldn't believe.","Limbomaniacs","Pavlov's Frothing Dogs","Stinky Grooves"
"Blade Runner","I think it was manufactured...
  Finest quality...superior workmanship...","Manufacture","Running Mad","Voice of World Control"
"Blade Runner","I've done... questionable things. @ 0:09, 0:12, 4:29
  Fiery the angels fell... @ 0:19, 0:26, 4:46, 4:49
  I've seen things you people wouldn't believe. @ 0:29, 0:36, 4:36
  All those moments will be lost in time... like tears in the
   rain. @ 3:05 (Note: First part also used @ 2:59, last part also
   used @ 3:21)","Mentallo & The Fixer","Ruthless","Where Angels Fear To Tread"
"Blade Runner","Ex-killer
  Deep thunder rolled about their shores","Millennium of the Phantom Vixens","Indigo Rain (Paige 5689)","      Elektrailer Park"
"Blade Runner","Ex-killer","Millennium of the Phantom Vixens","Tous Amis Fait D'Adulterine Dame","      Elektrailer Park"
"Blade Runner","Hello?
  It's not an easy thing to meet your maker.","Mortal","Ex-Nihilo","Fathom"
"Blade Runner","That's the spirit!
  ..But there's no answers.","Mortal","Promulgate","Fathom"
"Blade Runner","[gibberish, street-talk from the sushi-bar in the beginning of the movie]","Munch","Chaingang","Tree"
"Blade Runner","Fiery the angels fell... @ 1:47","Namlook, Pete","Trip 8","Air 2"
"Blade Runner","Time... to die.
  I want more life... Fucker...","Nasa","Young One, The","In the Mist of Time"
"Blade Runner","I've seen things you people wouldn't believe...
  Quite an experience to live in fear isn't it?
  Where are we going?
  All those moments will be lost, like tears in the rain...","Near Death Experience","Twist The Knife","Twist The Knife"
"Blade Runner","Stop right where you are. You know the score pal. If you're not cop, you're
   little people","New Kingdom","Are You Alive?","Heavy Load"
"Blade Runner","It's a test, designed to provoke an emotional response.  @ 0:28 (Note:
   Cut-up and repeated throughout)","New Mind","Love Missle F1-11","Newer Wave 2.0"
"Blade Runner","I want more life.. Fucker!
  Had in mind something a little more radical.","Null Device","I Want","One Machine"
"Blade Runner","It is not an easy thing to meet your maker.
  I want more life.","Numan, Gary","Down in the Park","Dream Corrosion"
"Blade Runner","The chance to begin again in a golden land of opportunity and adventure.","Numan, Gary","From Russia Infected","Outland"
"Blade Runner","Quite an experience to live in fear, isn't it?","Numan, Gary","My World Storm","Outland"
"Blade Runner","Move On, Move On","Numan, Gary","Outland","Outland"
"Blade Runner","What if I left... disappeared... would you come after me ... hunt me?
  No I wouldn't
  I owe you one
  But someone would
  Deckard you know those files on me... the incept dates... longevity... those
   things... you saw them?
  'They're classified'
   'But you're a policeman'
  You know that Voigt Kampf test... you ever take that test yourself...
   Deckard?","Omala","Relicon","Relicon"
"Blade Runner","Zeit zu sterben. @ 0:00 (Note: Time to die.)
  (Note: Taken from the dubbed German version)","Orange Sector","Lost in Blood","Faith"
"Blade Runner","Fiery the angels fell...","Oversoul","Angels","Research"
"Blade Runner","The chance to begin again in a golden land of opportunitity and adventure","Peace, Love and Pitbulls","What's Wrong","Peace, Love and Pitbulls"
"Blade Runner","Wake up! Time to die. @ 0:01  (Note: Leon [Brion James])","Pickford, Andy","Adios Amigo","Replicant"
"Blade Runner","If only you could see what I've seen with your eyes @ 0:00, @ 2:02 (Note:
   Roy Batty [Rutger Hauer])","Pickford, Andy","Questions","Replicant"
"Blade Runner","I like you... just the way you are. @ 0:00  (Note: Pris [Darryl Hannah],
   repeated several times throughout track)","Pickford, Andy","Blonde In A Suitcase","Replicant"
"Blade Runner","I want more life, fucker. @ 0:00","Pink Flamingos","Into The Void","Crippled Silence"
"Blade Runner","Wake up, time to die...
  I like you... just the way you are.","Pop Will Eat Itself","Wake Up Time to Die","      This is the Day, This is the Hour, This is This"
"Blade Runner","A new life awaits you in the off-world colonies. The chance to begin again
   in a golden land of opportunity and adventure!","Pouppee Fabrikk","Brigade","We Have Come To Drop Bombs"
"Blade Runner","Lost... moments... in time (Note: The line is cut up and made say something
   different)","Rabbit In The Moon","Out of Body Experience (Burning Spear Phase)","      Phases of an Out of Body Experience"
"Blade Runner","...like tears in rain. Time to die.","Rapoon","Valley","Fallen Gods"
"Blade Runner","A new life awaites you in the off-world colonies in a chance to begin in a
   golden land of opportunity and adventure @ 0:00","Re/Act","Off-World Colonies","Reason the Understanding and Time, The"
"Blade Runner","Enhance 34 to 46. Pull back. Wait a minute, go right, stop. Enhance 57 
   to 19. Track 45 left. Stop. Enhance 15 to 23. Give me a hard copy right 
   there. @ 0:10","ScanX","Black Moon","Chroma"
"Blade Runner","I've seen things you people wouldn't believe. Attack ships on fire off the 
   shoulder of Orion. I watched c-beams glitter in the darkness at the 
   Tanhauser Gate... All those moments will be lost in time.","Ship of Fools","From Time","Out There Somewhere"
"Blade Runner","Let me tell you about my mother!
  It's a test designed to provoke an emotional response. * 
  I'd rather be a killer than a victim
  Ah you a blade runner","Sigue Sigue Sputnik","Love Missile F1-11","Flaunt It"
"Blade Runner","I like you just the way you are.","Sigue Sigue Sputnik","Dancerama","Dress for Excess"
"Blade Runner","A golden land of opportunity and adventure.","","",""
"Blade Runner","Wake up, time to die...
  If only you could see what I've seen with you eyes
  You can't play 'em if you don't play
  It's not an easy thing to do...","Sonic Grip","Blade","Orbital - Planer of Dance (Compilation)"
"Blade Runner","I've seen things you people wouldn't believe... 
  Time to die.","Stranglers","Time to Die","Stranglers in the Night"
"Blade Runner","...in the off-world colonies. The chance to begin again in a golden land of
   opportunity and adventure.
  Emotional response.
  Your in a desert walking along the sand when all of a sudden you look down 
   and you see a tortoise. The tortoise lays on its back, it's belly baking in
   the hot sun beating its legs trying to run itself over, but it can't, not
   without your help... But your not helping!
  Describe in single words only the good things that come into your mind about
   your mother.","System 01","68 December 80","Victim 34"
"Blade Runner","A new life awaits you in the off-world colonies. The chance to begin again
   in a golden land of opportunity and adventure!","System 7","Mia (Ultraworld Colony Mix)","Miracle 12""
"Blade Runner","Wake up, time to die","Terminal Power Company","Trancefusion","Hunger The Heat, The (CD single)"
"Blade Runner","I've seen things you people wouldn't believe
  Time to die","Terminal Sect","Spirit in a Wire Cage","thehumansconditioned"
"Blade Runner","Yellow three, climb and maintain 4000...<???> when approaching pad 
   six <???>","Terror Against Terror","Hunter Killer","      Psychological Warfare Technology Systems"
"Blade Runner","Wake up, time to die...","Therapy?","Meat Abstract","Babyteeth"
"Blade Runner","All those moments will be lost... in time... like tears... in rain.
  Time to die...","THX","Right to Die, The","Living in Purgatory"
"Blade Runner","It's not an easy thing to meet your maker *
  Quite an experience to live in fear, isn't it? *
  (Note: * = It possible that these are not actual movie samples, but only 
   quotes from the movie spoken by someone.)","THX","Face of Fear, The","Living in Purgatory"
"Blade Runner","I love you.
  I trust you.","THX","Luv'n Trust","Living in Purgatory"
"Blade Runner","The facts of life.","Total Science","Facts of Life","Jumpin Jack Frost / Fine Tuning Volume 1"
"Blade Runner","Quite an experience to live in fear, isn't it? @ 2:34, 3:25
  That's what it is to be insane @ 2:40
  Time to die @ 3:29, 4:08, 6:14
  I've seen things you people wouldn't believe. Attack ships on fire off
   the shoulder of Orion. I watched C-beams glitter in the dark near the
   Tannhauser gate. All those moments will be lost in time, like tears in 
   rain. Time to die. @ 2:52","Tribe of Circle","Femme Evaporee, La","Advent of Redemption, The"
"Blade Runner","Let me tell you about my mother @ 3:32","Tricky","Aftermath","Maxinquaye"
"Blade Runner","Fiery the angels fell, burning with the fires of Orc. @ 2:28","U.N.K.L.E.","U.N.K.L.E (Main Title Theme)","Psyence Fiction"
"Blade Runner","Indulge me. @ 0:18
  Wake up! Time to die. @ 0:51, 0:53","Under Midnight","Die To Myself","Under Midnight"
"Blade Runner","Talk about beauty and the beast. She's both. @ 2:27
  Hate, love, fear, anger, envy. @ 2:32","Under Midnight","Love Pain Truth Fire","Under Midnight"
"Blade Runner","[street noise] @ 0:01 (Note: Deckard chasing Zhora)
  Optimum self-sufficiency. @ 0:13
  ...the chance to begin again in a golden land of opportunity and
   adventure.. @ 0:23
  I want more life.","Under Midnight","New Way","Under Midnight"
"Blade Runner","[sound of photo scanner] @ 0:01 (Note: Deckard enhancing Leon's photos)
  '...designed to provoke an emotional response.'
   'Demonstrate it. I want to see it work.'
   'Where's the subject?'
   'I want to see it work on a person. I want to see a negative before I 
    provide you with a positive.'
   'What's that gonna prove?' @ 0:15
  Reaction time is a factor in this. @ 0:39
  You know the score, Pal @ 0:41 (Note: Bryant)
  Control the subject @ 0:42 (Note: Tyrell)","Under Midnight","Cybervision","Under Midnight"
"Blade Runner","'May I ask you a personal question?'
   'Sure.' @ 0:01
  Hate, love, fear, anger, envy. @ 0:08","Under Midnight","Two Worlds One Cry","Under Midnight"
"Blade Runner","[android death scream] @ 0:00","Under Midnight","In A Mirror Dimly","Under Midnight"
"Blade Runner","I'd rather be a killer than a victim. @ 0:04
  Not an easy man to... see. @ 0:06
  Probably the leader. @ 0:09
  Where do I come from? Where am I going? How long have I got? @ 0:10
  ...the possibility they might try to infiltrate as employess. @ 1:05
  She's beginning to suspect, I think. @ 1:08
  It's too bad she won't live... @ 1:10
  The light that burns twice as bright burns half as long... @ 4:16","Under Midnight","Who Am I?","Under Midnight"
"Blade Runner","Enhance 34 to 46. Pull back. Wait a minute, go right, stop. Enhance 57
   to 19. Track 45 left. Stop. Enhance 15 to 23. Give me a hard copy right
   there. @ 0:13","Vangelis","Main Titles","Blade Runner"
"Blade Runner","'Do you like our owl?'
   'It's artificial?'
   'Of course it is.'
   'Must be expensive.'
   'Very. I'm Rachel.'
   'Deckard.'
   'It seems you feel our work is not a benefit to the public.'
   'Replicants are like any other machine. They're either a benefit or
    a hazard. If they're a benefit, it's not my problem.'
   'May I ask you a personal question?'
   'Sure.'
   'Have you ever retired a human by mistake?'
   'No.'
   'But in your position that is a risk?'
   'Is this to be an empathy test? Capillary dilation of the so-called
    blush response? Fluctuation of the pupil? Involuntary dilation of
    the iris?'
   'We call it Voight-Kampff for short.'
   'Mr. Deckard, Dr. Eldon Tyrell.'
   'Demonstrate it. I wanna see it work.'
   'Where's the subject?'
   'I wanna see it work on a person. I wanna see a negative before I
    provide you with a positive.'
   'What's that gonna prove?'
   'Indulge me.'
   'On you?'
   'Try her.' @ 0:06","Vangelis","Blush Response","Blade Runner"
"Blade Runner","Deckard? @ 0:39
  You know those files on me? @ 0:45
  The incept date, the longevity... @ 0:51
  ...those things. @ 0:56
  You saw them? @ 0:58
  What if I go north. @ 1:09
  Would you come after me? @ 1:17
  Hunt me? @ 1:22","Vangelis","Wait For Me","Blade Runner"
"Blade Runner","I've seen things you people wouldn't believe. Attack ships on fire off the
   shoulder of Orion. I watched C-beams glitter in the dark near the Tannhauser
   gate. All those moments will be lost in time, like tears in rain. @ 0:05","Vangelis","Tears In Rain","Blade Runner"
"Blade Runner","A new life awaits you in the offworld colonies. A chance to begin again in a
   world of opportunity and adventure. (Note: At beginning and end of track)","Vik On Injection","Audio Game","Welcome to Space"
"Blade Runner","...[laughter of one of J.F. Sebastian's toys]...","Wake, The","Sideshow","Masked"
"Blade Runner","You not come here, illegal!","Watchmen","Cyber-Generation","Plague"
"Blade Runner","I want more life, fucker.","Xorcist","Gift, The","Phantoms"
"Blade Runner","Move! Get out of the way! @ 1:00","Xorcist","UNGDSOB","Damned Souls"
"NASA (Space Programmes)","T minus 15 seconds, guidance is internal...12, 11, 10, 9...ignition sequence
   start, 6, 5, 4, 3, 2, 1, zero...
  (Note: The Space Shuttle)","1000 Homo DJs","Supernaut","Supernaut"
"NASA (Space Programmes)","In the beginning, God created the Heaven and the Earth. And the Earth was
   without Form and Void, and darkness was upon the face of the deep. And the
   spirit of God moved upon the face of the waters. And God said: Let there be
   Light, and there was light. And God saw the light, and it was good. And God
   divided the light from the darkness. @ 0:42, 6:14
  ... And God said: Let there be Light ... @ 4:24
  (Note: From the Apollo Moon landings)","Astral Projection","Let there be Light","In The Mix"
"NASA (Space Programmes)","I'm going to step off the LM now. @ 3:03
  It's one small step for man, one giant leap for mankind. @ 3:10
  (Note: Apollo XI moon landing)","Babylon Zoo","Honeymoon in Space","King Kong Groover"
"NASA (Space Programmes)","12... @ 1:29
  ...9... @ 1:31
  ...11... @ 1:32
  ...3... @ 1:35
  ...6... @ 1:36
  30 seconds and counting, the astronauts report it feels good @ 1:50
  20 seconds and counting @ 1:57
  T minus 15 seconds, guidance is internal @ 2:01
  Ignition sequence start @ 2:08
  ...4... @ 2:12
  ...5... @ 2:13
  ...2, 1, Zero. All engines... @ 2:14
  All the second stage tanks now <pressurised???> @ 2:18
  35 seconds and counting, we are still go with Apollo 11 @ 2:21
  T minus 25 seconds @ 2:29
  (Note: Apollo XI Moon Landing. All the samples are repeated througout the 
   whole track, starting with the volume really low, so timing is hard to say
   for sure...)","Banco de Gaia","Eagle (Small Steppa Mix)","Last Train to Lhasa"
"NASA (Space Programmes)","Gods speed, John Glenn.
  3, 2, 1, zero
  Roger, the clock is operating, we're underway!
  What do we see? -  It's Santa Monica now, Cape Canaveral, Mexico City,
   Central America, Carribean area
  (Note: Mercury Programme)","BiGod 20","America","America (12") "
"NASA (Space Programmes)","Godspeed John Glenn *
  It's one small step for man, one giant leap for mankind! 
  In the beginning, God created the Heaven and the Earth, and the Earth was
   without form - and void. And God gazed upon the face of the deep; And 
   darkness was on the face of the deep; and the spirit of God moved upon the
   face of the water, and God said: Let the be light, and there was light, and
   God saw the light and it was good, and God divided the light from the 
   darkness... And God saw that it was Good.
   And from the crew of Apollo 8, we close with goodnight, good luck, merry
   christmas and God bless all of you, all of you on the good Earth
  (Note: Apollo Programme, apart from * which is Mercury Programme)","Celtic Frost","One in their Pride","Into the Pandemonium"
"NASA (Space Programmes)","Godspeed, John Glenn. @ 0:00
  3, 2, 1, zero. @ 0:02
  (Note: Mercury Programme)","Confetti's","Megamix, The","Best Of New Beat (Various Artists)"
"NASA (Space Programmes)","This transmission is coming to you...
  [transmission beep]
  Alright you are Go
  Ah, we see the earth now... (Note: Partly used as well)
  Alright...
  (Note: All samples used repeatedly throughout the song)","Crystal Method, The","High Roller","Vegas"
"NASA (Space Programmes)","It's one small step for man, one giant leap for mankind!
  Ok, engine is stoped.
  Tranquillity base here, the Eagle has landed!
  Fifty seconds
  (Note: Apollo mission)","Cultivated Bimbo","Wendy Takes the Fall","Tunes From A High Wire"
"NASA (Space Programmes)","<???> go! @ 0:30
  All systems are go! @ 0:32
  <???> traject. @ 1:01
  <???> we're reading you loud and clear. @ 1:03
  10, 9, 8, 7, 6, 5, 4, 3, 2, 1. @ 2:30 (Note: Cut together)","Curse, The","All Systems Are Go","X-Static, Vol. 3: Dutch Hardbeats"
"NASA (Space Programmes)","Flight controllers sound off for landing.. Retro - go! Flight - go! 
   Guidance - go! Delcom - go! G&C - go! E-com - go! Surgeon - go! 
   OK Capacom we are go for Landing
  Eagle .. Houston. You are go for Landing
  (Note: Apollo 11)","Def Leppard","Rocket","Hysteria"
"NASA (Space Programmes)","T minus 31 seconds and we're gone for auto sequence start. @ 0:00, 2:27
  T minus 10 seconds. @ 0:15 (Note: First occurance, repeated several times)
  4, 3, 2, 1, ignition @ 2:37","","",""
"NASA (Space Programmes)","T minus 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0 ... ignition ... liftoff,
   liftoff @ 0:00","DJ Kool","I Got Dat Feelin'","Let Me Clear My Throat"
"NASA (Space Programmes)","Shut down @ 0:08 (Note: Used multiple times)
  Stand by @ 0:13 (Note: Used multiple times)
  [bleep] @ 0:09 (Note: Used multiple times)
  T-minus 20 seconds and counting @ 0:51, 1:25, 4:26, 6:08, 6:18 (Note: 
   Partly used at 1:36 as well)","DJ Luna-C","Piano Progression X","Project X - 11 Reasons Why"
"NASA (Space Programmes)","In the beginning, God created the Heaven and the Earth. And the Earth was
   without form and void, and darkness was upon the face of the deep. And the
   spirit of God moved upon the face of the waters. And God said, 'Let there be
   light', and there was light. @ 0:14 (Note: Astronaut Bill Anders reading
   from Genesis on the Apollo VIII mission, 24 December 1968)","DJ Quicksilver","Clubfiles One (Equinoxe IV) (Club Edit)",""
"NASA (Space Programmes)","In the beginning, God created the heaven and the earth. @ 0:22","Funker Vogt","The Third War (original mix)","Killing Time Again"
"NASA (Space Programmes)","Ignition sequence start, 6, 5, 4, 3, 2, 1, zero, all engines running... 
   Liftoff! @ 0:00
  [beep] It's a beautiful <???> @ 3:07","Fury in the Slaughterhouse","Down There","      Hearing and the Sense of Balance, The"
"NASA (Space Programmes)","Prepare for liftoff @ 0:40","Gang Starr","Above The Clouds","Moment Of Truth"
"NASA (Space Programmes)","T minus 15 seconds, guidance is internal...12, 11, 10, 9...ignition sequence
   start, 6, 5, 4, 3, 2, 1, zero, all engines running...Liftoff! - We have
   liftoff! *
  I get a mass of very small particles that are brilliantly lit up, like
   they're luminescent... - never saw anything like it! **
  They're coming by the capsule... and they look like little stars **
  In the beginning, God created the Heaven and the Earth, and the Earth was
   without form - and void. And God gazed upon the face of the deep, and the
   spirit of God moved upon the face of the water, and God said: Let the be
   light, and there was light, and God saw the light and it was good, and God
   divided the light from the darkness... ***
  ...and from the crew of Apollo 8, we close with goodnight, good luck, merry
   christmas and God bless all of you, all of you on this good Earth ***
  (Note: * = The Space Shuttle, ** = Mercury Programme, *** = Apollo 8)","Grid, The","One Giant Step","Electric Head "
"NASA (Space Programmes)","...are you receiving me now? 
  (Note: Apollo 8 Spaceflight)","Grid, The","Are You Receiving Me Now?","Electric Head"
"NASA (Space Programmes)","Guidance is internal 
  (Note: Taken from Apollo XIII)","Haslinger","Guidance is Internal","Future Primitive"
"NASA (Space Programmes)","<???> one not shut down.
  Check, Houston comcast.","Haujobb","Flood, The","Homes and Gardens"
"NASA (Space Programmes)","I'll try to descibe what I'm in here. I'm in a big mass of some very small
   particles that are brilliantly lit up, like they're luminescent. I never 
   saw anything like it! They're coming by the capsule... and they look like 
   little stars. A whole shower of them coming by
  (Note: Mercury Programme - Astronaut John Glenn)","Hawkwind","Phenomenon of Luminosity","Church of Hawkwind"
"NASA (Space Programmes)","ROGER [beep], you're go tranquility, we're receiving you on the ground
  (Note: Apollo 11 moonlanding)","JP 69","Elevation (part 1-3)","Cyberworld (compilation) "
